StockPriceFourYearsGrowth,AssetsLiabilitiesFourYearsGrowth,StockSharesFourYearsGrowth,FCFFourYearsGrowth,ProfitMarginFourYearsGrowth,NetIncomeFourYearsGrowth,RevenueFourYearsGrowth,StockSharesGrowth2021,StockSharesGrowth2020,StockSharesGrowth2019,FCFGrowth2021,FCFGrowth2020,FCFGrowth2019,ProfitMarginGrowth2021,ProfitMarginGrowth2020,ProfitMarginGrowth2019,NetIncomeGrowth2021,NetIncomeGrowth2020,NetIncomeGrowth2019,RevenueGrowth2021,RevenueGrowth2020,RevenueGrowth2019
-79.66,195.72,11.75,133.98,2.11,532.43,435.48,2.14,5.27,3.94,1465.95,-86.91,14.14,-1.3,-5.72,9.13,-21.97,-43.24,1076.38,85.95,101.5,42.91
13.76,157.28,-30.0,46.33,1.13,22.08,8.58,-16.26,-10.56,-6.54,55.97,-6.2,0.03,5.22,-0.34,-3.75,128.66,-9.77,-40.83,12.09,-3.6,0.49
5.9,44.22,7.35,-26.05,-33.13,-79.12,-21.59,6.27,0.57,0.45,-33.06,17.44,-5.94,-23.79,25.57,-34.91,-62.29,118.34,-74.64,12.33,-37.52,11.71
-13.91,-85.35,7.29,-60.48,-34.8,-385.92,48.29,-1.9,3.4,5.78,144.53,37.6,-242.25,-9.36,-26.46,1.01,-47.48,-169.7,-22.17,19.93,-5.49,30.83
-18.21,69.24,4.17,13.65,-8.57,8.41,47.39,1.24,1.09,1.78,2.84,12.52,-1.78,-1.96,-3.96,-2.65,4.78,-3.86,7.61,13.41,10.91,17.18
-22.09,85.8,12.4,730.19,-26.31,-1261.99,260.24,3.16,4.4,4.37,60.93,422.55,-1.28,3.15,-12.24,-17.23,-48.94,-127.62,-301.73,62.08,56.07,42.41
-8.34,-9.66,7.2,-37.74,4.09,78.8,24.73,11.13,0.0,-3.54,121.05,-60.29,-29.08,9.01,-3.82,-1.1,272.27,-46.67,-9.94,24.59,-1.74,1.89
69.95,-138.6,-4.99,117.08,16.24,209.99,33.3,-5.25,0.53,-0.24,21.38,45.08,23.27,10.23,1.7,4.31,65.85,23.05,51.9,6.31,11.59,12.36
24.23,257.18,20.59,244.24,6.28,-21.95,146.14,2.76,7.36,9.3,488.76,-53.87,26.76,3.94,-1.9,4.23,8.46,-58.21,15.8,50.06,28.52,27.63
0.17,55.53,-1.07,171.39,13.77,441.82,29.38,-1.07,-0.53,0.53,27.7,2.39,107.57,3.24,0.42,10.11,42.58,0.97,276.36,17.06,-1.91,12.67
-6.41,-9.02,-7.93,14.14,11.17,34.74,9.27,-2.6,-2.78,-2.77,9.81,-3.75,7.99,-5.3,14.7,1.77,-3.69,33.09,5.12,4.94,2.71,1.37
59.8,222.48,-16.61,42012.5,6.15,79.61,-9.94,0.62,-0.54,-16.68,2455.94,-112.53,14162.5,13.53,-4.79,-2.58,1164.29,-130.7,-45.02,2.97,-7.39,-5.57
28.63,94.34,8.82,89.0,1.96,129.91,107.39,2.18,3.79,2.61,5.94,76.07,1.32,0.57,2.13,-0.74,47.24,51.03,3.39,43.03,34.48,7.82
22.58,70.2,2.62,-31.96,-1.58,11.82,30.24,1.03,0.87,0.7,-31.33,7.99,-8.25,-1.5,0.74,-0.81,-1.53,18.38,-4.07,13.88,10.52,3.48
0.28,-13.66,-15.87,4.87,-5.21,-0.69,13.06,-5.54,-6.65,-4.58,3.07,5.19,-3.28,-3.36,-0.39,-1.46,-3.66,2.53,0.54,4.93,3.51,4.09
-11.54,75.42,0.0,41.91,-5.48,9.49,67.76,0.0,0.0,0.0,-3.21,53.57,-4.53,-7.16,3.96,-2.28,-17.12,32.96,-0.63,40.51,2.78,16.16
23.45,-23.12,-8.33,-15.67,-4.2,-19.85,2.58,-0.9,1.37,-8.75,-15.88,25.11,-19.86,2.13,-2.41,-3.91,28.36,-10.87,-29.94,10.14,5.84,-12.01
-42.52,166.98,1.28,54.65,-5.62,42.97,86.22,0.47,0.14,0.67,45.13,1.35,5.14,1.49,-7.47,0.36,36.6,-20.56,31.74,25.63,14.16,29.83
-32.05,29.29,-6.82,33.59,5.66,63.14,31.74,-0.18,-2.65,-4.11,38.95,-16.82,15.59,5.12,-1.0,1.53,83.89,-4.55,-7.06,51.85,-0.62,-12.7
-15.3,68.42,-7.56,166.45,5.89,124.58,76.26,-2.33,-0.17,-5.19,41.22,54.01,22.51,2.28,4.75,-1.14,29.39,67.74,3.47,18.63,36.01,9.24
766.14,51.49,4.71,-304.45,3.43,296.51,48.44,3.42,-3.49,4.91,-848.37,186.97,-131.41,2.34,0.62,0.47,154.92,32.69,17.23,46.06,6.53,-4.6
-67.94,2246.49,38.02,1264.77,-37.54,-575.71,214.39,18.91,6.15,9.35,-21.14,299.62,469.61,-35.23,3.17,-5.48,-218.8,-27.33,-66.47,58.82,38.86,42.56
-1.29,50.24,-0.34,-6.22,2.27,69.93,48.27,0.42,0.16,-0.92,-39.72,16.66,33.36,1.93,-0.15,0.49,38.7,15.74,5.86,23.64,16.86,2.62
-17.62,22.61,6.78,12.97,12.8,298.94,15.27,2.27,1.99,2.37,0.8,324.86,-73.62,3.18,6.46,3.16,82.7,428.4,66.84,11.09,2.06,1.67
18.11,-94.96,-22.02,10.09,-5.22,-18.04,12.23,-7.71,-11.43,-4.6,13.12,-0.09,-2.59,1.84,2.75,-9.81,25.49,30.88,-50.1,9.18,1.64,1.15
-28.65,97.68,5.12,80.97,-0.19,100.47,103.48,1.32,1.67,2.05,-3.11,152.79,-26.11,0.52,0.88,-1.59,47.22,25.32,8.66,41.29,16.35,23.78
-8.66,31.32,-4.11,33.38,-0.22,29.6,34.76,-1.41,0.71,-3.42,-19.46,32.15,25.32,0.37,-0.91,0.31,19.9,-5.85,14.8,11.71,10.84,8.83
-25.31,35.88,2.07,134.56,12.94,675.19,58.1,-0.62,1.18,1.52,19.86,-9.98,117.4,2.23,3.64,7.07,27.96,42.58,324.9,10.38,5.58,35.66
-19.34,47.48,0.0,68.07,4.43,74.22,16.84,0.04,0.36,-0.4,14.5,19.22,23.12,1.09,-3.35,6.69,26.37,-24.19,81.86,16.1,-3.65,4.45
87.93,70.34,-2.63,39.31,-2.07,5.52,18.63,-0.59,0.11,-2.16,31.13,4.89,1.29,1.73,1.06,-4.86,26.63,1.72,-18.08,13.43,-5.53,10.71
-9.63,-101.62,-7.62,-24.84,28.64,2596.77,13.84,0.34,-1.53,-6.51,38.29,173.68,-173.76,8.18,-134.39,154.84,50.9,-85.75,12438.71,9.6,2.45,1.38
-36.33,37.88,8.99,2386.67,0.76,-24.42,37.22,2.3,2.9,3.54,177.23,-240.82,2186.67,-6.89,-10.02,17.67,-1785.0,-105.08,229.87,21.57,2.23,10.41
-10.21,-89.69,-4.34,24.48,3.55,214.27,44.2,-1.54,-2.59,-0.26,-15.66,8.24,36.37,21.9,-20.09,1.74,148.94,-461.39,77.69,14.42,11.93,12.59
-25.67,103.92,0.09,-22.32,2.52,150.23,96.66,-1.67,0.86,0.93,-84.87,258.6,43.18,-6.28,2.93,5.87,-31.96,110.63,74.6,4.32,76.46,6.83
50.06,41.55,-10.84,115.72,3.25,906.45,-0.56,-6.5,-0.98,-3.7,380.68,89.62,46.04,1.06,2.19,0.01,52.69,596.59,-5.38,8.02,-0.9,-7.11
-11.76,99.2,3.98,22.56,-0.86,68.66,82.33,1.09,1.49,1.35,18.06,23.35,-15.84,-0.5,-0.34,-0.03,28.18,9.87,19.75,34.14,13.24,20.04
-38.46,123.52,-0.7,40.08,4.68,98.81,36.32,0.1,-1.08,0.28,12.85,43.43,-13.45,3.33,-0.82,2.17,66.07,-7.35,29.22,28.91,-0.75,6.55
-3.65,-3.32,-5.44,-15.7,1.19,33.48,24.98,-1.69,-3.26,-0.58,2.95,-8.66,-10.35,0.98,0.25,-0.03,16.52,4.99,9.12,10.43,3.52,9.33
